country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,CODE
Afghanistan,Asia,179267,7690,162202,9375,1124,4420,190,951337,23455,40560636,AFG
Albania,Europe,275574,3497,271826,251,2,95954,1218,1817530,632857,2871945,ALB
Algeria,Africa,265816,6875,178371,80570,6,5865,152,230861,5093,45325517,DZA
Andorra,Europe,42156,153,41021,982,14,543983,1974,249838,3223924,77495,AND
Angola,Africa,99194,1900,97149,145,NA,2853,55,1499795,43136,34769277,AGO
Anguilla,North America,2984,9,2916,59,4,195646,590,51382,3368870,15252,AIA
Antigua And Barbuda,North America,7721,137,7511,73,1,77646,1378,18901,190076,99439,ATG
Argentina,South America,9101319,128729,8895999,76591,372,197992,2800,35716069,776974,45968174,ARG
Armenia,Asia,422896,8623,412048,2225,NA,142219,2900,3068217,1031834,2973558,ARM
Aruba,North America,35693,213,35199,281,NA,331689,1979,177885,1653053,107610,ABW
Australia,Australia/Oceania,6593795,7794,6199822,386179,129,253112,299,70885598,2721042,26050899,AUS
Austria,Europe,4212492,18303,4135885,58304,58,462804,2011,185034905,20328801,9102106,AUT
Azerbaijan,Asia,792638,9709,782869,60,NA,76885,942,6838458,663324,10309383,AZE
Bahamas,North America,33871,801,32488,582,NA,84626,2001,233473,583330,400242,BHS
Bahrain,Asia,576997,1479,569758,5760,4,318491,816,9775981,5396149,1811659,BHR
Bangladesh,Asia,1953012,29127,1899419,24466,1273,11643,174,14051455,83767,167745162,BGD
Barbados,North America,76261,433,71497,4331,NA,264768,1503,669421,2324136,288030,BRB
Belarus,Europe,982867,6978,NA,NA,NA,104078,739,13220483,1399951,9443535,BLR
Belgium,Europe,4116397,31613,3941350,143434,117,352324,2706,33846023,2896893,11683561,BEL
Belize,North America,57896,676,56761,459,6,140843,1644,549217,1336070,411069,BLZ
Benin,Africa,26952,163,25506,1283,5,2120,13,604310,47530,12714341,BEN
Bermuda,North America,14135,135,13664,336,NA,228537,2183,893980,14454002,61850,BMU
Bhutan,Asia,59570,21,59491,58,NA,75651,27,2303690,2925573,787432,BTN
Bolivia,South America,906146,21943,863665,20538,220,75704,1833,2705422,226025,11969554,BOL
Bosnia And Herzegovina,Europe,377511,15778,NA,NA,NA,116414,4866,1767199,544957,3242823,BIH
Botswana,Africa,306324,2690,303026,608,1,125541,1102,2026898,830683,2440037,BWA
Brazil,South America,30682094,664920,29718402,298772,8318,142460,3087,63776166,296119,215373503,BRA
British Virgin Islands,North America,6573,62,NA,NA,1,214762,2026,103637,3386166,30606,VGB
Brunei Darussalam,Asia,144659,220,142788,1651,NA,324871,494,717784,1611980,445281,BRN
Bulgaria,Europe,1161504,37045,1014302,110157,54,169536,5407,9924259,1448573,6851060,BGR
Burkina Faso,Africa,20853,382,20439,32,NA,949,17,248995,11333,21970296,BFA
Burundi,Africa,41235,38,NA,NA,NA,3286,3,345742,27549,12549999,BDI
Cabo Verde,Africa,56105,401,55613,91,23,98910,707,400982,706908,567234,CPV
Cambodia,Asia,136262,3056,133194,12,NA,7945,178,2961934,172709,17149867,KHM
Cameroon,Africa,119780,1927,117791,62,13,4312,69,1751774,63068,27776053,CMR
Canada,North America,3821346,40228,3499564,281554,423,99622,1049,61436458,1601640,38358465,CAN
Caribbean Netherlands,North America,9915,35,9829,51,NA,371668,1312,30126,1129287,26677,BES
Cayman Islands,North America,23578,28,8553,14997,1,351077,417,222773,3317098,67159,CYM
Central African Republic,Africa,14649,113,6859,7677,2,2938,23,81294,16304,4986136,CAF
Chad,Africa,7414,193,4874,2347,NA,428,11,191341,11058,17303260,TCD
Channel Islands,Europe,75275,173,74574,528,NA,425648,978,1252808,7084095,176848,NA
Chile,South America,3605522,57722,3468131,79669,159,185643,2972,37693651,1940790,19421812,CHL
China,Asia,221804,5209,210454,6141,383,154,4,160000000,111163,1439323776,CHN
China Hong Kong Sar,Asia,1208506,9361,NA,NA,5,158800,1230,44972952,5909516,7610260,HKG
China Macao Sar,Asia,82,NA,82,0,NA,123,NA,5375,8073,665819,MAC
Colombia,South America,6095316,139821,5928829,26666,342,117459,2694,34675581,668214,51892950,COL
Comoros,Africa,8100,160,7933,7,NA,8959,177,NA,NA,904091,COM
Congo,Africa,24079,385,20178,3516,NA,4172,67,347815,60270,5770949,COG
Cook Islands,Australia/Oceania,5410,1,5291,118,NA,307491,57,17469,992895,17594,COK
Costa Rica,North America,866164,8444,841683,16037,48,167189,1630,4401922,849668,5180753,CRI
Cote D Ivoire,Africa,81989,799,81168,22,NA,2971,29,1509861,54716,27594347,CIV
Croatia,Europe,1131450,15930,1111405,4115,15,278811,3925,4838151,1192212,4058130,HRV
